ANNO;COD_ATENEO;NOME_ATENEO;Reg_ATENEO;AREA_GEO;GENERE;COD_QUALIFICA;DESC_QUALIFICA;N_PERS
2015;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;F;1PO e 2PA;Professore I/II fascia (ordinario/associato);419
2015;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;M;1PO e 2PA;Professore I/II fascia (ordinario/associato);748
2015;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;F;3RU e 3RTD;Ricercatore a tempo indeterminato/determinato;395
2015;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;M;3RU e 3RTD;Ricercatore a tempo indeterminato/determinato;384
2015;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;F;4AR;Titolare di assegno di ricerca;250
2015;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;M;4AR;Titolare di assegno di ricerca;146
2015;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;F;5PC;Personale docente a contratto;368
2015;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;M;5PC;Personale docente a contratto;377
2015;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;F;6CR;Collaboratori in attività di ricerca;984
2015;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;M;6CR;Collaboratori in attività di ricerca;610
2015;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;F;7CL;Collaboratori linguistici;31
2015;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;M;7CL;Collaboratori linguistici;17
2015;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;F;7TA;Personale tecnico-amministrativo;1164
2015;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;F;7TA;Personale tecnico-amministrativo;59
2015;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;M;7TA;Personale tecnico-amministrativo;582
2015;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;M;7TA;Personale tecnico-amministrativo;23
